REGIONAL ACCOUNTS OF THE PHILIPPINES,,,,,,,,
Unit : In Thousand Pesos,,,,,,,,
Table 1.1A.  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
2013 TO 2015,,,,,,,,
AT CURRENT PRICES,,,,,,,,
,,,,,,,,
REGION / YEAR,,2013,2014,2015,,,,
I ,ILOCOS, 3.1 , 3.1 , 3.1 ,,,,
II ,CAGAYAN VALLEY, 1.8 , 1.8 , 1.8 ,,,,
III ,CENTRAL LUZON , 9.1 , 9.3 , 9.3 ,,,,
IV ,SOUTHERN TAGALOG /1, -   , -   , -   ,,,,
IVA,CALABARZON , 17.3 , 17.2 , 17.2 ,,,,
IVB,MIMAROPA , 1.6 , 1.7 , 1.6 ,,,,
V ,BICOL, 2.0 , 2.0 , 2.0 ,,,,
VI ,WESTERN VISAYAS, 4.0 , 3.9 , 4.0 ,,,,
VII ,CENTRAL VISAYAS, 6.3 , 6.4 , 6.4 ,,,,
VIII ,EASTERN VISAYAS, 2.2 , 2.0 , 2.0 ,,,,
IX ,ZAMBOANGA PENINSULA, 2.0 , 2.0 , 2.1 ,,,,
X ,NORTHERN MINDANAO, 3.7 , 3.7 , 3.7 ,,,,
XI ,DAVAO REGION , 3.8 , 3.9 , 4.0 ,,,,
XII ,SOCCSKSARGEN, 2.7 , 2.7 , 2.7 ,,,,
XIII,CARAGA, 1.3 , 1.3 , 1.3 ,,,,
ARMM ,AUTONOMOUS REGION IN MUSLIM MINDANAO , 0.7 , 0.7 , 0.7 ,,,,
Source: Philippine Statistics Authority,,,,,,,,
,,,,,,,,
REGIONAL ACCOUNTS OF THE PHILIPPINES,,,,,,,,
Unit : In Percent,,,,,,,,
Table 1.3A  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
2013 TO 2015,,,,,,,,
AT CURRENT PRICES,,,,,,,,
GROWTH RATES,,,,,,,,
REGION / YEAR,,13-14,14-15,,,,,
,,,,,,,,
PHILIPPINES,,9.6 ,5.2 ,,,,,
,,,,,,,,
NCR ,NATIONAL CAPITAL REGION,9.0 ,7.9 ,,,,,
CAR ,CORDILLERA ADMINISTRATIVE REGION,6.1 ,1.1 ,,,,,
I ,ILOCOS,9.8 ,3.5 ,,,,,
II ,CAGAYAN VALLEY,13.6 ,(1.4),,,,,
III ,CENTRAL LUZON ,13.2 ,2.7 ,,,,,
IV ,SOUTHERN TAGALOG /1,#DIV/0!,0.0 ,,,,,
IVA,CALABARZON ,7.6 ,2.3 ,,,,,
IVB,MIMAROPA ,13.1 ,(4.6),,,,,
V ,BICOL,8.6 ,6.2 ,,,,,
VI ,WESTERN VISAYAS,9.4 ,8.7 ,,,,,
VII ,CENTRAL VISAYAS,11.6 ,5.3 ,,,,,
VIII ,EASTERN VISAYAS,3.4 ,4.3 ,,,,,
IX ,ZAMBOANGA PENINSULA,9.1 ,7.4 ,,,,,
X ,NORTHERN MINDANAO,11.2 ,6.3 ,,,,,
XI ,DAVAO REGION ,12.8 ,8.7 ,,,,,
XII ,SOCCSKSARGEN,9.5 ,1.4 ,,,,,
XIII,CARAGA,15.2 ,2.9 ,,,,,
ARMM ,AUTONOMOUS REGION IN MUSLIM MINDANAO ,5.5 ,(5.3),,,,,
Source: Philippine Statistics Authority,,,,,,,,
,,,,,,,,
REGIONAL ACCOUNTS OF THE PHILIPPINES,,,,,,,,
Unit : In Percent,,,,,,,,
Table 1.3B  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
2013 TO 2015,,,,,,,,
AT CONSTANT 2000 PRICES,,,,,,,,
GROWTH RATES,,,,,,,,
REGION / YEAR,,13-14,14-15,,,,,
,,,,,,,,
PHILIPPINES,,6.2 ,5.9 ,,,,,
,,,,,,,,
NCR ,NATIONAL CAPITAL REGION,5.9 ,6.6 ,,,,,
CAR ,CORDILLERA ADMINISTRATIVE REGION,3.3 ,3.7 ,,,,,
I ,ILOCOS,6.4 ,5.0 ,,,,,
II ,CAGAYAN VALLEY,7.2 ,3.7 ,,,,,
III ,CENTRAL LUZON ,9.3 ,5.3 ,,,,,
IV ,SOUTHERN TAGALOG /1,0.0 ,0.0 ,,,,,
IVA,CALABARZON ,5.1 ,5.9 ,,,,,
IVB,MIMAROPA ,8.3 ,1.7 ,,,,,
V ,BICOL,4.3 ,8.4 ,,,,,
VI ,WESTERN VISAYAS,5.2 ,8.3 ,,,,,
VII ,CENTRAL VISAYAS,7.8 ,4.8 ,,,,,
VIII ,EASTERN VISAYAS,(2.4),3.9 ,,,,,
IX ,ZAMBOANGA PENINSULA,6.6 ,7.2 ,,,,,
X ,NORTHERN MINDANAO,7.1 ,5.5 ,,,,,
XI ,DAVAO REGION ,9.3 ,7.9 ,,,,,
XII ,SOCCSKSARGEN,6.2 ,3.3 ,,,,,
XIII,CARAGA,9.4 ,4.2 ,,,,,
ARMM ,AUTONOMOUS REGION IN MUSLIM MINDANAO ,3.0 ,(0.8),,,,,
Note: GDP series not linked with previous years due to revisions in some sectors. ,,,,,,,,
Source: Philippine Statistics Authority,,,,,,,,
REGIONAL  ACCOUNTS OF THE PHILIPPINES ,,,,,,,,
Base Year : 2000,,,,,,,,
Table 1.4.  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
2013 TO 2015,,,,,,,,
IMPLICIT PRICE INDEX,,,,,,,,
,,,,,,,,
REGION / YEAR,,2013 ,2014 ,2015 ,,,,
,,,,,,,,
PHILIPPINES,,170.9,176.4,175.2,,,,
,,,,,,,,
NCR ,NATIONAL CAPITAL REGION,174.9,179.9,182.1,,,,
CAR ,CORDILLERA ADMINISTRATIVE REGION,174.8,179.6,175.2,,,,
I ,ILOCOS,169.5,174.8,172.3,,,,
II ,CAGAYAN VALLEY,174.7,185.2,176.1,,,,
III ,CENTRAL LUZON ,166.2,172.2,168.0,,,,
IV ,SOUTHERN TAGALOG /1,#DIV/0!,#DIV/0!,#DIV/0!,,,,
IVA,CALABARZON ,160.0,163.7,158.1,,,,
IVB,MIMAROPA ,171.1,178.7,167.4,,,,
V ,BICOL,178.2,185.4,181.8,,,,
VI ,WESTERN VISAYAS,172.3,179.1,179.8,,,,
VII ,CENTRAL VISAYAS,172.7,178.7,179.5,,,,
VIII ,EASTERN VISAYAS,166.7,176.6,177.2,,,,
IX ,ZAMBOANGA PENINSULA,171.5,175.5,175.8,,,,
X ,NORTHERN MINDANAO,174.3,180.9,182.3,,,,
XI ,DAVAO REGION ,178.6,184.3,185.6,,,,
XII ,SOCCSKSARGEN,173.0,178.4,175.1,,,,
XIII,CARAGA,158.2,166.6,164.5,,,,
ARMM ,AUTONOMOUS REGION IN MUSLIM MINDANAO ,201.3,206.3,196.9,,,,
Source: Philippine Statistics Authority,,,,,,,,
,,,,,,,,
REGIONAL  ACCOUNTS OF THE PHILIPPINES ,,,,,,,,
Base Year : 1985,,,,,,,,
Table 1.4.  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
1997 TO 1999,,,,,,,,
INFLATION RATES,,,,,,,,
,,,,,,,,
REGION / YEAR,,,,,,,,
,,,,,,,,
PHILIPPINES,,,,,,,,
,,,,,,,,
NCR ,NATIONAL CAPITAL REGION,,,,,,,
CAR ,CORDILLERA,,,,,,,
I ,ILOCOS,,,,,,,
II ,CAGAYAN VALLEY,,,,,,,
III ,CENTRAL LUZON /2,,,,,,,
IV ,SOUTHERN TAGALOG /1,,,,,,,
V ,BICOL,,,,,,,
VI ,WESTERN VISAYAS,,,,,,,
VII ,CENTRAL VISAYAS,,,,,,,
VIII ,EASTERN VISAYAS,,,,,,,
IX ,ZAMBOANGA PENINSULA /5,,,,,,,
X ,NORTHERN MINDANAO /6,,,,,,,
XI ,DAVAO REGION /7,,,,,,,
XII ,SOCCSKSARGEN /8,,,,,,,
ARMM ,MUSLIM MINDANAO /9,,,,,,,
XIII,CARAGA,,,,,,,
,,,,,,,,
REGIONAL ACCOUNTS OF THE PHILIPPINES,,,,,,,,
Unit : In Percent,,,,,,,,
Table 1.3B  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
2013 TO 2015,,,,,,,,
INFLATION RATES,,,,,,,,
,,,,,,,,
REGION / YEAR,,13-14,14-15,,,,,
,,,,,,,,
PHILIPPINES,,3.18 ,(0.63),,,,,
,,,,,,,,
NCR ,NATIONAL CAPITAL REGION,2.85 ,1.21 ,,,,,
CAR ,CORDILLERA ADMINISTRATIVE REGION,2.75 ,(2.49),,,,,
I ,ILOCOS,3.12 ,(1.42),,,,,
II ,CAGAYAN VALLEY,6.00 ,(4.89),,,,,
III ,CENTRAL LUZON ,3.64 ,(2.43),,,,,
IV ,SOUTHERN TAGALOG /1,#DIV/0!,#DIV/0!,,,,,
IVA,CALABARZON ,2.32 ,(3.46),,,,,
IVB,MIMAROPA ,4.41 ,(6.27),,,,,
V ,BICOL,4.06 ,(1.96),,,,,
VI ,WESTERN VISAYAS,3.98 ,0.38 ,,,,,
VII ,CENTRAL VISAYAS,3.50 ,0.43 ,,,,,
VIII ,EASTERN VISAYAS,5.91 ,0.37 ,,,,,
IX ,ZAMBOANGA PENINSULA,2.33 ,0.13 ,,,,,
X ,NORTHERN MINDANAO,3.80 ,0.75 ,,,,,
XI ,DAVAO REGION ,3.20 ,0.70 ,,,,,
XII ,SOCCSKSARGEN,3.12 ,(1.84),,,,,
XIII,CARAGA,5.29 ,(1.25),,,,,
ARMM ,AUTONOMOUS REGION IN MUSLIM MINDANAO ,2.48 ,(4.55),,,,,
Source: Philippine Statistics Authority,,,,,,,,
,,,,,,,,
,,,,,,,,
REGIONAL ACCOUNTS OF THE PHILIPPINES,,,,,,,,
Unit : In Percent,,,,,,,,
Table 1.3B  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
2013 TO 2015,,,,,,,,
"CONTRIBUTION TO GROWTH OF GDP, AT CONSTANT 2000 PRICES",,,,,,,,
,,,,,,,,
REGION / YEAR,,13-14,14-15,,,,,
,,,,,,,,
PHILIPPINES,,6.2 ,5.9 ,,,,,
,,,,,,,,
NCR ,NATIONAL CAPITAL REGION,2.2 ,2.4 ,,,,,
CAR ,CORDILLERA ADMINISTRATIVE REGION,0.1 ,0.1 ,,,,,
I ,ILOCOS,0.2 ,0.2 ,,,,,
II ,CAGAYAN VALLEY,0.1 ,0.1 ,,,,,
III ,CENTRAL LUZON ,0.8 ,0.5 ,,,,,
IV ,SOUTHERN TAGALOG /1,0.0 ,0.0 ,,,,,
IVA,CALABARZON ,0.9 ,1.0 ,,,,,
IVB,MIMAROPA ,0.1 ,0.0 ,,,,,
V ,BICOL,0.1 ,0.2 ,,,,,
VI ,WESTERN VISAYAS,0.2 ,0.3 ,,,,,
VII ,CENTRAL VISAYAS,0.5 ,0.3 ,,,,,
VIII ,EASTERN VISAYAS,(0.1),0.1 ,,,,,
IX ,ZAMBOANGA PENINSULA,0.1 ,0.1 ,,,,,
X ,NORTHERN MINDANAO,0.3 ,0.2 ,,,,,
XI ,DAVAO REGION ,0.4 ,0.3 ,,,,,
XII ,SOCCSKSARGEN,0.2 ,0.1 ,,,,,
XIII,CARAGA,0.1 ,0.1 ,,,,,
ARMM ,AUTONOMOUS REGION IN MUSLIM MINDANAO ,0.0 ,(0.0),,,,,
Source: Philippine Statistics Authority,,,,,,,,
,,,,,,,,
,,,,,,,,
REGIONAL ACCOUNTS OF THE PHILIPPINES,,,,,,,,
Unit : In Percent,,,,,,,,
Table 1.3B  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
2013 TO 2015,,,,,,,,
"CONTRIBUTION TO GROWTH OF GDP, AT CURRENT PRICES",,,,,,,,
,,,,,,,,
REGION / YEAR,,13-14,14-15,,,,,
,,,,,,,,
PHILIPPINES,,9.6 ,5.2 ,,,,,
,,,,,,,,
NCR ,NATIONAL CAPITAL REGION,3.3 ,2.9 ,,,,,
CAR ,CORDILLERA ADMINISTRATIVE REGION,0.1 ,0.0 ,,,,,
I ,ILOCOS,0.3 ,0.1 ,,,,,
II ,CAGAYAN VALLEY,0.2 ,(0.0),,,,,
III ,CENTRAL LUZON ,1.2 ,0.2 ,,,,,
IV ,SOUTHERN TAGALOG /1,0.0 ,0.0 ,,,,,
IVA,CALABARZON ,1.2 ,0.4 ,,,,,
IVB,MIMAROPA ,0.2 ,(0.1),,,,,
V ,BICOL,0.2 ,0.1 ,,,,,
VI ,WESTERN VISAYAS,0.4 ,0.3 ,,,,,
VII ,CENTRAL VISAYAS,0.7 ,0.3 ,,,,,
VIII ,EASTERN VISAYAS,0.1 ,0.1 ,,,,,
IX ,ZAMBOANGA PENINSULA,0.2 ,0.2 ,,,,,
X ,NORTHERN MINDANAO,0.4 ,0.2 ,,,,,
XI ,DAVAO REGION ,0.5 ,0.4 ,,,,,
XII ,SOCCSKSARGEN,0.3 ,0.0 ,,,,,
XIII,CARAGA,0.2 ,0.0 ,,,,,
ARMM ,AUTONOMOUS REGION IN MUSLIM MINDANAO ,0.0 ,(0.0),,,,,
Source: Philippine Statistics Authority,,,,,,,,
,,,,,,,,
,,,,,,,,
"CONTRIBUTION TO GROWTH OF GDP, AT CURRENT PRICES",,,,,,,,
,,,,,,,,
REGION / YEAR,,13-14,14-15,,,,,
,,,,,,,,
PHILIPPINES,,9.6,5.2,,,,,
NCR,,3.3,2.9,,,,,
LUZON,,3.5,0.8,,,,,
VISAYAS,,1.2,0.8,,,,,
MINDANAO,,1.6,0.8,,,,,
,,,,,,,,
"CONTRIBUTION TO GROWTH OF GDP, AT CONSTANT 2000 PRICES",,,,,,,,
,,,,,,,,
REGION / YEAR,,13-14,14-15,,,,,
,,,,,,,,
PHILIPPINES,,6.2,5.9,,,,,
NCR,,2.2,2.4,,,,,
LUZON,,2.3,2.0,,,,,
VISAYAS,,0.6,0.7,,,,,
MINDANAO,,1.1,0.8,,,,,
,,,,,,,,
,,,,,,,,
"LEVELS BY MAJOR ISLAND GROUP, AT CURRENT PRICES",,,,,,,,
,,,,,,,,
REGION / YEAR,,2013 ,2014 ,2015 ,,,,
,,,,,,,,
PHILIPPINES,,"11,538,410,475 ","12,645,271,245 ","13,307,265,222 ",,,,
NCR,,"4,294,857,113 ","4,680,004,811 ","5,047,837,517 ",,,,
LUZON,,"4,110,457,629 ","4,509,207,899 ","4,606,433,029 ",,,,
VISAYAS,,"1,447,863,596 ","1,585,025,644 ","1,683,583,084 ",,,,
MINDANAO,,"1,685,232,138 ","1,871,032,891 ","1,969,411,592 ",,,,
,,,,,,,,
,,,,,,,,
"LEVELS BY MAJOR ISLAND GROUP, AT CONSTANT 2000 PRICES",,,,,,,,
,,,,,,,,
REGION / YEAR,,2013 ,2014 ,2015 ,,,,
,,,,,,,,
PHILIPPINES,,"6,750,631,383 ","7,170,414,383 ","7,593,768,846 ",,,,
NCR,,"2,455,228,444 ","2,601,240,961 ","2,772,163,007 ",,,,
LUZON,,"2,486,848,496 ","2,644,946,219 ","2,788,367,666 ",,,,
VISAYAS,,"844,313,246 ","888,022,758 ","939,393,130 ",,,,
MINDANAO,,"964,241,197 ","1,036,204,446 ","1,093,845,044 ",,,,
,,,,,,,,
,,,,,,,,
"GROWTH RATES BY MAJOR ISLAND GROUP, AT CURRENT PRICES",,,,,,,,
,,,,,,,,
REGION / YEAR,,13-14,14-15,,,,,
,,,,,,,,
PHILIPPINES,,9.6 ,5.2 ,,,,,
NCR,,9.0 ,7.9 ,,,,,
LUZON,,9.7 ,2.2 ,,,,,
VISAYAS,,9.5 ,6.2 ,,,,,
MINDANAO,,11.0 ,5.3 ,,,,,
,,,,,,,,
,,,,,,,,
"GROWTH RATES BY MAJOR ISLAND GROUP, AT CONSTANT 2000 PRICES",,,,,,,,
,,,,,,,,
REGION / YEAR,,13-14,14-15,,,,,
,,,,,,,,
PHILIPPINES,,6.2 ,5.9 ,,,,,
NCR,,5.9 ,6.6 ,,,,,
LUZON,,6.4 ,5.4 ,,,,,
VISAYAS,,5.2 ,5.8 ,,,,,
MINDANAO,,7.5 ,5.6 ,,,,,
,,,,,,,,
,,,,,,,,
"PERCENT DISTRIBUTION BY MAJOR ISLAND GROUP, AT CURRENT PRICES",,,,,,,,
,,,,,,,,
REGION / YEAR,,2013 ,2014 ,2015 ,,,,
,,,,,,,,
PHILIPPINES,, 100.00 , 100.00 , 100.00 ,,,,
NCR,, 37.22 , 37.01 , 37.93 ,,,,
LUZON,, 35.62 , 35.66 , 34.62 ,,,,
VISAYAS,, 12.55 , 12.53 , 12.65 ,,,,
MINDANAO,, 14.61 , 14.80 , 14.80 ,,,,
,,,,,,,,
,,,,,,,,
"PERCENT DISTRIBUTION BY MAJOR ISLAND GROUP, AT CONSTANT 2000 PRICES",,,,,,,,
,,,,,,,,
REGION / YEAR,,2013 ,2014 ,2015 ,,,,
,,,,,,,,
PHILIPPINES,, 100.00 , 100.00 , 100.00 ,,,,
NCR,, 36.37 , 36.28 , 36.51 ,,,,
LUZON,, 36.84 , 36.89 , 36.72 ,,,,
VISAYAS,, 12.51 , 12.38 , 12.37 ,,,,
MINDANAO,, 14.28 , 14.45 , 14.40 ,,,,
