,social_p,social_r,ILO_total,ILO_social,year,share1,PV_EST,PV_PER_RNK,PV_PER_RNK_UPPER,PV_STD_ERR,GE_EST,GE_PER_RNK,GE_PER_RNK_UPPER,GE_STD_ERR,RQ_EST,RQ_PER_RNK,RQ_PER_RNK_UPPER,RQ_STD_ERR,remittance_usd,remittance_gdp,gdp,incomeLevel,region,is_eca,gini,FSR,social_p_est1,social_p_est2,social_p_est2_nofsr,social_p_est2_fsr,social_p_est3,social_p_est4,social_p_est,social_r_est
Barbados,,,11.41,7.07,2010,,1.346831322,97.57281494,99.51690674,0.222926274,1.229804277,87.0192337,94.25836945,0.287942261,0.314740479,63.46154022,75.5980835,0.293250948,86634867.91,1.989548006,4550463947,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,,FALSE,0.493962845,0.462555608,0.465312432,,0.460433519,0.415629394,0.460433519,0.159816505
Belarus,0.491746937,0.310170399,15.8,11.8,2011,0.0937,0.123558208,51.94174576,61.83575058,0.213329136,-0.495878845,35.09615326,49.76076508,0.237284064,-1.044880509,13.94230747,25.35885239,0.181581095,1231300000,1.617168535,1.72E+11,Upper middle income,Europe & Central Asia (all income levels),TRUE,26.01,TRUE,0.337906923,0.487340352,,0.48303883,0.499712129,0.492656035,0.499712129,0.232535916
Belgium,0.65117317,0.402522585,29.73,21.09,2011,0.0835,0.714276493,69.90291595,85.50724792,0.1997049,1.399301887,88.46154022,95.21530914,0.227214962,1.173112035,85.09615326,91.86602783,0.229259074,11452621808,2.154584773,4.88E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,27.59,FALSE,0.608139346,0.537915358,0.544522973,,0.535235794,0.543970964,0.535235794,0.175351218
Belize,,,5.76,2,2011,,0.054302093,48.05825424,60.38647461,0.228040665,-0.674839497,25.96153831,45.45454407,0.288527578,-0.509408593,32.69230652,48.32535934,0.229258984,80334417.62,4.727906439,2960246535,Upper middle income,Latin America & Caribbean (all income levels),FALSE,53.26,FALSE,0.180706383,0.157470492,0.154794026,,0.158988263,0.18230503,0.158988263,0.105144115
Benin,0.047258796,0.074529866,4.2,1.98,2010,0.0614,0.049571123,47.08737946,60.38647461,0.227393225,-0.498997539,34.13461685,46.41148376,0.205733001,-0.506496251,33.17307663,46.88995361,0.185834706,216722446.4,2.263335481,21516703864,Low income,Sub-Saharan Africa (all income levels),FALSE,43.44,FALSE,0.18751432,0.176277583,0.177276913,,0.180623027,0.171359006,0.180623027,0.108813817
Bermuda,,,,,,,0.957360625,81.55339813,98.06763458,0.277110815,0.921581447,77.40384674,93.30143738,0.459674478,0.854611456,77.40384674,94.73683929,0.530168593,1290046674,21.97614153,3402639659,High income: nonOECD,North America,FALSE,,FALSE,,,,,,,,
Bhutan,,,5.2,2.17,2012,,0.996404946,82.5242691,97.58454132,0.222926274,0.270389497,62.5,72.72727203,0.219118461,-1.010596514,15.38461494,28.22966576,0.20280613,14292342.89,0.729646451,5979045312,Lower middle income,South Asia,FALSE,38.65,FALSE,0.275942154,0.27857738,0.280757647,,0.281919509,0.196677258,0.281919509,0.126345887
Bolivia,0.347208934,0.226869331,12.12,8.5,2010,0.0332,-0.360225648,31.55339813,44.92753601,0.204798803,-0.593755007,29.80769157,44.49760818,0.202521428,-0.862739742,20.19230843,31.10047913,0.187134713,1183636844,3.587192693,70023357901,Lower middle income,Latin America & Caribbean (all income levels),FALSE,48.06,FALSE,0.308500737,0.236624263,0.241645946,,0.239984533,0.236180569,0.239984533,0.122630299
Bosnia and Herzegovina,0.219521713,0.125459922,17.45,10.5,2011,0.0747,-0.063033156,43.68931961,57.48792267,0.221862942,-0.466256738,36.53845978,51.67464066,0.237307191,-0.090424024,49.51922989,59.33014297,0.18052043,2086007002,11.2626395,39805250328,Upper middle income,Europe & Central Asia (all income levels),TRUE,33.04,TRUE,0.380285074,0.499524743,,0.503805701,0.497728572,0.501487202,0.497728572,0.231902482
Botswana,0.23278882,0.043776539,6.59,3,2010,0.0284,1.021890044,85.43688965,97.58454132,0.204798803,0.32131961,64.90384674,72.72727203,0.190354973,0.641127229,72.11538696,79.42583466,0.177133039,48271918.15,0.305260267,35739373872,Upper middle income,Sub-Saharan Africa (all income levels),FALSE,60.46,FALSE,0.307453565,0.300313933,0.304424927,,0.30417483,0.266113254,0.30417483,0.130964553
Brazil,0.225672307,0.205611313,21.29,15.5,2010,0.0339,-0.01384575,45.14562988,57.97101593,0.1997049,-0.154615194,47.11538315,60.76554871,0.193489805,-0.072600193,50.48077011,60.28708267,0.18065168,2645117591,0.109454553,3.28E+12,Upper middle income,Latin America & Caribbean (all income levels),FALSE,52.87,FALSE,0.392860933,0.317870378,0.330181927,,0.324636257,0.236860371,0.324636257,0.138604824
Brunei Darussalam,,,2.31,0.71,2011,,1.267537475,95.14562988,99.51690674,0.22410281,1.08199811,81.7307663,91.38755798,0.305575699,0.969983637,79.80769348,90.43061829,0.282266378,,,29712111132,High income: nonOECD,East Asia & Pacific (all income levels),FALSE,,FALSE,,,,,0.329383622,0.289582714,0.329383622,0.131632165
Bulgaria,0.66309464,0.404462695,17.2,12.88,2011,0.0641,0.081753463,50,59.90338135,0.1997049,0.090118624,57.69230652,70.33493042,0.203877479,0.574401557,71.15384674,77.51196289,0.173914686,1684200000,2.969477188,1.24E+11,Upper middle income,Europe & Central Asia (all income levels),TRUE,36.01,TRUE,0.419589656,0.569778067,,0.544275862,0.57773403,0.543883811,0.57773403,0.246082609
Burkina Faso,0.49467539,0.323516605,5.07,1.8,2011,0.0672,-0.787618876,19.41747665,29.95169067,0.204798803,-0.558241129,30.76922989,44.49760818,0.181937411,-0.334788859,42.78845978,50.71770477,0.172010317,121456657,0.968382297,28486420790,Low income,Sub-Saharan Africa (all income levels),FALSE,39.76,FALSE,0.165946166,0.162063834,0.164969771,,0.168505073,0.162980887,0.168505073,0.106503553
Burundi,,,4.94,2.05,2010,,-0.893656909,17.47572899,27.05314064,0.217144623,-1.094306707,14.90384579,21.53110123,0.190366924,-0.773074627,24.51922989,33.97129059,0.183794245,50791125.72,1.641787896,8327707522,Low income,Sub-Saharan Africa (all income levels),FALSE,33.36,FALSE,0.118981056,0.099629132,0.103173803,,0.107414116,0.112744237,0.107414116,0.096397929
Cabo Verde,,,,,,,0.407537848,59.70873642,72.46376801,0.222926274,-0.005535262,55.28845978,65.55023956,0.204376534,-0.008326164,52.88461685,64.11483002,0.203212887,,,,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,,FALSE,,,,,,,,
Cambodia,0.02478884,0.028243106,2.23,0.79,2013,0.0899,-0.039973695,44.6601944,57.97101593,0.212313503,-0.678407967,25.48077011,42.5837326,0.210097477,-0.403112918,37.01922989,49.28229523,0.188796878,376750841.7,2.245529123,50010187065,Low income,East Asia & Pacific (all income levels),FALSE,30.76,FALSE,0.087902942,0.108297391,0.105941758,,0.113092525,0.114750714,0.113092525,0.094960617
Cameroon,0.149924287,0.029862132,2.33,0.81,2010,0.0635,-0.944601476,14.0776701,25.60386467,0.204798803,-0.741300762,23.07692337,36.84210587,0.181937411,-0.939564824,18.75,28.7081337,0.172010317,251296967.1,0.784057898,67686481734,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,42.82,FALSE,0.075403558,0.099209633,0.099544299,,0.106401853,0.130049884,0.106401853,0.093881007
Canada,0.631,0.14,18.63,10.66,2010,0.071,1.176155448,91.26213837,99.03381348,0.1997049,1.759718299,95.19230652,99.52153015,0.227214962,1.830917358,97.59615326,99.52153015,0.229259074,1183943323,0.066312993,1.60E+12,High income: OECD,North America,FALSE,33.68,FALSE,0.580312978,0.548632164,0.555087075,,0.547204755,0.647050807,0.547204755,0.175673055
Cape Verde,,,6.87,4.49,2010,,,,,,,,,,,,,,190644996.2,10.18845198,3350426695,,,,47.19,FALSE,,,,,,,,
Cayman Islands,,,,,,,1.108344555,87.86407471,99.51690674,0.275764942,1.156672835,85.09615326,94.73683929,0.351513624,0.873406053,78.36538696,90.43061829,0.353684753,,,2823463452,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,,FALSE,,,,,,,,
Central African Republic,,,2.55,0.62,2012,,-2.672609091,0.485436887,4.830917835,0.227393225,-1.84076488,1.442307711,5.74162674,0.206220761,-1.412346959,5.769230843,12.44019127,0.185834706,158919.3046,0.012427404,2854553719,Low income,Sub-Saharan Africa (all income levels),FALSE,56.24,FALSE,-0.077728914,-0.057901384,-0.054864082,,-0.045024492,0.017041038,-0.045024492,0.0673436
Chad,,,1.31,0.3,2010,,-1.533385873,8.252427101,10.14492798,0.217144623,-1.479538202,5.769230843,12.44019127,0.190753147,-1.165584803,10.57692337,20.09569359,0.183794245,724057.2572,0.061369212,29647550192,Low income,Sub-Saharan Africa (all income levels),FALSE,43.32,FALSE,-0.098352477,-0.046096207,-0.046966356,,-0.035088569,0.047921121,-0.035088569,0.067208052
Channel Islands,,,,,,,,,,,,,,,,,,,,,,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,,FALSE,,,,,,,,
Chile,,,10.43,6.8,2011,,0.494097382,63.10679626,75.84541321,0.1997049,1.142292023,84.13461304,90.43061829,0.203709275,1.502755284,91.82691956,96.17224884,0.186613619,136351353,0.052836762,3.92E+11,High income: OECD,Latin America & Caribbean (all income levels),FALSE,50.45,FALSE,0.470730156,0.446470872,0.452504664,,0.447516592,0.40586519,0.447516592,0.157512087
China,,,6.83,5.56,2010,,-0.463141531,29.61165047,40.57971191,0.1997049,0.33927542,66.34615326,72.72727203,0.193689078,-0.266431451,45.19230652,54.06698608,0.18065168,29910500593,0.288855496,1.80E+13,Upper middle income,East Asia & Pacific (all income levels),FALSE,42.06,FALSE,0.36242617,0.332586579,0.339232528,,0.336621447,0.269521147,0.336621447,0.138063721
Colombia,0.122694299,0.087327565,10.49,8.58,2010,0.033,-1.12062192,10.67961121,19.32367134,0.1997049,-0.108596839,49.51922989,61.7224884,0.193489805,0.503713906,67.78845978,75.5980835,0.18065168,4165731073,1.102804901,6.38E+11,Upper middle income,Latin America & Caribbean (all income levels),FALSE,53.49,FALSE,0.352394829,0.296579122,0.30468183,,0.301491154,0.284760636,0.301491154,0.133158866
Comoros,,,,,,,-0.194327489,38.83495331,56.0386467,0.259716004,-1.665967107,1.923076868,9.569377899,0.242273435,-1.138621092,11.05769253,24.88038254,0.228617683,120640549.3,19.34113767,1100531416,Low income,Sub-Saharan Africa (all income levels),FALSE,55.93,FALSE,,,,,,,,
"Congo, Dem. Rep.",0.012981288,0.030175238,3.48,0.73,2012,0.0547,-2.273853302,4.854369164,6.76328516,0.218231544,-1.594228864,4.326922894,9.569377899,0.195625097,-1.341215134,7.692307472,14.35406685,0.180995271,22378359.1,0.067565325,55844108793,Low income,Sub-Saharan Africa (all income levels),FALSE,42.1,FALSE,-0.035110613,-0.017822677,-0.014767272,,-0.006011451,0.043463027,-0.006011451,0.074419059
"Congo, Rep.",0.17196905,0.152144416,2.79,1.4,2010,0.0561,-0.288736761,33.49514389,48.3091774,0.218231544,-1.14613843,13.46153831,20.09569359,0.195625097,-1.184756398,10.09615421,19.61722565,0.180995271,14814296.04,0.176472259,28276523016,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,40.16,FALSE,0.072828507,0.072241224,0.076778674,,0.082232907,0.098495721,0.082232907,0.091134433
Cook Islands,,,6.74,2.99,2010,,1.450788379,96.69811249,100,0.585449457,-0.975299239,16.11374474,56.13207626,0.619420826,-1.174323201,11.37440777,40.09434128,0.509559512,,,,,,,,FALSE,,,,,0.140855689,0.164560534,0.140855689,0.103062309
Costa Rica,0.469668814,0.202808605,15.45,8.88,2010,0.0421,0.630740941,67.4757309,82.12560272,0.204798803,0.3994914,69.2307663,74.16268158,0.214330822,0.529294789,70.19230652,76.07655334,0.193786159,593925384.4,1.198576091,70974333847,Upper middle income,Latin America & Caribbean (all income levels),FALSE,49.18,FALSE,0.414177373,0.364475415,0.371396843,,0.367106273,0.335654325,0.367106273,0.144452245
Cote d'Ivoire,,,1.95,1.08,2011,,-1.013922095,12.62135887,23.67149734,0.204798803,-0.783942461,21.15384674,35.40670013,0.181937411,-0.623911679,29.32692337,41.62679291,0.172010317,378459817,1.104875781,72193008164,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,43.18,FALSE,0.096846402,0.108098622,0.10918297,,0.115111569,0.129961579,0.115111569,0.096094785
Croatia,0.549424,0.270493,20.96,14.78,2011,0.0801,0.601195335,66.01941681,78.74396515,0.1997049,0.693595529,73.55769348,80.8612442,0.203877479,0.403088808,65.86538696,73.20574188,0.173914686,2148831146,3.762394721,91697894708,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,31.98,FALSE,0.504734234,0.431191549,0.435258452,,0.429040857,0.585703615,0.429040857,0.156316358
Cuba,,,22.8,13.1,2010,,0.597639322,65.53398132,79.71014404,0.218231544,-0.058055166,52.88461685,66.50717926,0.242710754,-1.359553814,7.211538315,16.26794243,0.22436519,,,2.34E+11,Upper middle income,Latin America & Caribbean (all income levels),FALSE,,FALSE,,,,,0.328555706,0.272158187,0.328555706,0.13884957
Curacao,,,,,,,,,,,,,,,,,,,143301676,,,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,,FALSE,,,,,,,,
Cyprus,,,22.6,19.47,2011,,0.686430633,68.93203735,85.50724792,0.20912455,1.135823369,83.17308044,90.90908813,0.242246523,1.09493959,82.69230652,90.90908813,0.231513545,259621183.7,1.117796463,25826741996,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,34.31,FALSE,0.565751865,0.498258075,0.506871845,,0.498171397,0.553892258,0.498171397,0.168819109
Czech Republic,0.40579885,0.450117368,20.78,14.09,2011,0.0933,0.966862202,82.03883362,96.13526917,0.1997049,1.023064375,80.28845978,88.03827667,0.219925269,1.023321509,81.25,89.47368622,0.207166672,1892879190,0.922142479,3.28E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,26.13,FALSE,0.524031441,0.46760244,0.475465471,,0.468159313,0.62621517,0.468159313,0.162876839
Denmark,0.67680752,0.353511483,30.58,22.98,2011,0.0913,0.943732381,79.61164856,95.16908264,0.1997049,1.806646466,96.15384674,99.52153015,0.227214962,1.716299534,94.71154022,99.52153015,0.229259074,1376648151,0.402102519,2.57E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,29.08,FALSE,0.653383466,0.592523874,0.601483002,,0.590691828,0.535898937,0.590691828,0.185039392
Djibouti,,,7.29,1.95,2007,,-0.717478454,21.84465981,32.85024261,0.234058693,-0.969767988,16.34615326,28.7081337,0.221418172,-0.546665609,31.25,46.88995361,0.20598112,35922063.84,2.26063389,2865449041,Lower middle income,Middle East & North Africa (all income levels),FALSE,45.13,FALSE,0.132130376,0.114297903,0.116316403,,0.120638182,0.094870922,0.120638182,0.098530266
Dominica,,,7.99,3.8,2010,,1.11261797,88.34951782,99.51690674,0.277110815,0.065515801,56.73077011,72.72727203,0.351028442,0.231400922,61.05769348,74.16268158,0.28911081,23551134.08,4.493855972,786877009.1,Upper middle income,Latin America & Caribbean (all income levels),FALSE,,FALSE,0.319662827,0.284599271,0.283270541,,0.283552368,0.277322827,0.283552368,0.128039108
Dominican Republic,0.191747141,0.117606959,4.82,3.07,2010,0.0501,0.187725902,54.36893082,64.73429871,0.204798803,-0.430175871,37.01922989,51.67464066,0.214330822,-0.035595633,51.44230652,62.67942429,0.193786159,4810400000,7.500099118,1.38E+11,Upper middle income,Latin America & Caribbean (all income levels),FALSE,47.07,FALSE,0.259692227,0.214127604,0.208027112,,0.210741374,0.220002409,0.210741374,0.11506497
Ecuador,0.279292961,0.173645445,4.37,2.3,2010,0.043,-0.009557519,45.63106918,58.93719864,0.213329136,-0.498966604,34.61538315,48.32535934,0.221331492,-1.018806338,14.90384579,26.79425812,0.189289778,2472449389,2.449974014,1.81E+11,Upper middle income,Latin America & Caribbean (all income levels),FALSE,47.29,FALSE,0.201333718,0.183827395,0.185133506,,0.187956771,0.203831779,0.187956771,0.110444553
"Egypt, Arab Rep.",0.10013164,0.119279265,13.21,11.73,2011,0.0925,-1.582371593,7.766990185,9.66183567,0.204798803,-0.819497645,20.19230843,32.53588486,0.181937411,-0.754285872,25,33.97129059,0.161920503,19570400000,6.491033998,9.44E+11,Lower middle income,Middle East & North Africa (all income levels),FALSE,30.75,FALSE,0.324995431,0.22711638,0.229131147,,0.227337498,0.148307488,0.227337498,0.121283329
El Salvador,0.184290421,0.177373996,7.77,3.97,2011,0.057,-0.149288654,40.29126358,54.10628128,0.204798803,-0.021864465,53.36538315,64.59329987,0.202521428,0.344549567,64.42308044,72.24880219,0.187134713,4235129689,16.83031386,51006165816,Lower middle income,Latin America & Caribbean (all income levels),FALSE,43.51,FALSE,0.376061383,0.293263947,0.271693991,,0.274698446,0.270233196,0.274698446,0.126637397
Equatorial Guinea,,,2.78,0.35,2010,,-0.389737725,30.58252335,45.89371872,0.234058693,-1.447893739,6.25,15.78947353,0.240783364,-1.455257297,5.288461685,12.44019127,0.214953899,164206.0429,0.070637485,28516791412,High income: nonOECD,Sub-Saharan Africa (all income levels),FALSE,,FALSE,-0.081431346,-0.034481102,-0.034802424,,-0.023564576,0.051920926,-0.023564576,0.069565407
Eritrea,,,1.64,0.39,2011,,-0.759104729,20.38834953,30.91787529,0.234058693,-1.616036057,3.365384579,10.04784679,0.232253745,-2.118962526,0.961538434,3.349282265,0.196442649,3284750.938,0.465017929,6758835465,Low income,Sub-Saharan Africa (all income levels),FALSE,,FALSE,-0.089440979,-0.050524553,-0.050673203,,-0.039427657,0.035764899,-0.039427657,0.067129271
Estonia,0.51851898,0.34896655,20.08,14.73,2010,0.0717,0.76018548,72.33009338,87.43961334,0.1997049,1.046515822,81.25,88.99521637,0.219925269,1.674917698,93.2692337,99.0430603,0.190196574,543741752,2.053005264,36991216692,High income: OECD,Europe & Central Asia (all income levels),TRUE,33.15,TRUE,0.53628495,0.699366306,,0.65003616,0.704645639,0.621586295,0.704645639,0.268097059
Ethiopia,,,3.17,0.61,2010,,-1.239940882,9.708738327,17.39130402,0.204798803,-0.470100433,35.57692337,45.93301392,0.182274476,-0.978259265,16.34615326,27.27272797,0.172010317,646129793.5,1.161848417,1.45E+11,Low income,Sub-Saharan Africa (all income levels),FALSE,33.17,FALSE,0.084108154,0.121263266,0.119174165,,0.126652996,0.15399276,0.126652996,0.096623917
Faeroe Islands,,,,,,,,,,,,,,,,,,,160995878,6.061382773,,,,,,FALSE,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,,FALSE,,,,,,,,
Fiji,,,,,,,0.477527201,62.13592148,78.74396515,0.259716004,-0.367236018,41.34615326,59.80861282,0.305306077,-0.401855022,37.5,54.54545593,0.268312782,209403766.7,4.620745348,7794005747,Upper middle income,East Asia & Pacific (all income levels),FALSE,42.78,FALSE,,,,,,,,
Finland,0.57169229,0.335617398,29.22,21.97,2011,0.0918,1.28405118,95.63106537,99.51690674,0.1997049,2.01603055,99.03845978,100,0.227214962,1.903888464,98.55769348,100,0.229259074,973679982.7,0.35768578,2.22E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,27.12,FALSE,0.67334099,0.617511953,0.625880329,,0.6148399,0.583803899,0.6148399,0.18905026
France,0.49639142,0.37605085,32.02,23.78,2011,0.0781,0.355908394,59.22330093,68.59903717,0.1997049,1.403120279,88.94230652,95.21530914,0.227214962,1.085527301,82.21154022,90.90908813,0.229259074,25194757667,0.890528367,2.60E+12,High income: OECD,Europe & Central Asia (all income levels),TRUE,33.1,FALSE,0.612466943,0.542406807,0.551614605,,0.541589743,0.472760746,0.541589743,0.176739471
French Guiana,,,,,,,0.522291422,64.56311035,78.74396515,0.246550292,1.089630127,82.21154022,93.30143738,0.351513624,1.462525606,90.86538696,99.0430603,0.353684753,,,,,,,,FALSE,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,669244690,,,High income: nonOECD,East Asia & Pacific (all income levels),FALSE,,FALSE,,,,,,,,
Gabon,0.220839964,0.121652737,,,,0.0586,0.196385622,54.85437012,64.73429871,0.20912455,-0.664001167,26.44230843,42.10526276,0.195381775,-0.72615701,25.96153831,37.79904175,0.200101942,11028154.17,0.116590427,32791696746,Upper middle income,Sub-Saharan Africa (all income levels),FALSE,42.18,FALSE,,,,,,,,
"Gambia, The",,,2.98,0.5,2010,,-0.101983927,41.74757385,57.00482941,0.2142739,-0.606331706,28.36538506,43.54066849,0.194457784,-0.493555337,33.65384674,47.8468895,0.196932435,191145819.6,22.46389482,3143924270,Low income,Sub-Saharan Africa (all income levels),FALSE,47.33,FALSE,0.15960664,0.12480503,0.086597154,,0.099781623,0.138579134,0.099781623,0.091532492
Georgia,0.983201178,0.542810893,8.22,6.63,2012,0.0528,-0.233456805,35.92232895,51.20772934,0.212313503,0.484269112,71.63461304,74.64115143,0.210027099,0.925378382,79.32691956,88.03827667,0.175677791,1986474924,12.01741892,34149997946,Lower middle income,Europe & Central Asia (all income levels),TRUE,40.03,TRUE,0.453778547,0.60193117,,0.749332638,0.594839728,0.59444885,0.594839728,0.247327784
