country,vp,vr,v
"Macao SAR, China",0.3,0.2575,
"Macedonia, FYR",0.3,0.204597,0.2097583023
Madagascar,0.3,0.542447212715,0.526688143888
Malawi,0.3,0.542447212715,0.529330818507
Malaysia,0.3,0.246692046881,0.249112227953
Maldives,0.3,0.5445,0.52858305
Mali,0.64684855,0.1,0.143583829435
Malta,0.3,0.307,
Marshall Islands,0.3,0.26392675,
Mauritania,0.5845951,0.1,0.12917262502
Mauritius,0.3,0.3,0.3
Mexico,0.3,0.42153845,0.41563168133
"Micronesia, Fed. Sts.",0.3,0.5445,0.54061245
Middle East & North Africa (all income levels),,,
Middle East & North Africa (developing only),,,
Middle income,,,
Moldova,0.648346750981,0.428221628391,0.446910251299
Monaco,0.3,0.307,
Mongolia,0.3,0.159531241181,0.169504523057
Montenegro,0.3,0.540973960825,0.521093609057
Morocco,0.3,0.3091521875,0.308555464875
Mozambique,0.3,0.345,0.3426465
Myanmar,0.3,0.316,
Namibia,0.466403415957,0.7,0.692127795118
Nepal,0.3,0.498281375,0.481883505287
Netherlands,0.3,0.2596299,0.2630209884
New Caledonia,0.3,0.285,
New Zealand,0.3,0.2447021425,
Nicaragua,0.3,0.421042167331,0.415425810767
Niger,0.7,0.103779625,0.1572009706
Nigeria,0.593739601658,0.7,0.694272564529
North America,,,
Northern Mariana Islands,0.3,0.5445,
Norway,0.3,0.159531241181,0.172173429475
OECD members,,,
Oman,0.3,0.3,
Other small states,,,
Pacific island small states,,,
Pakistan,0.3,0.6201834,0.58947781194
Palau,0.3,0.5445,
Panama,0.605685096709,0.7,0.696981923095
Papua New Guinea,0.3,0.6386,
Paraguay,0.7,0.37219015,0.38549922991
Peru,0.3,0.213228,0.2168897784
Philippines,0.99,0.99,1.98462790729
Poland,0.3,0.159531241181,0.170614226252
Portugal,0.105,0.1,
Puerto Rico,0.3,0.312249342304,
Qatar,0.3,0.3,
Romania,0.3,0.425110175,0.413962858407
Russian Federation,0.3,0.219220345027,0.224438710739
Rwanda,0.63,0.7,0.696388
Samoa,0.3,0.5445,
San Marino,0.3,0.307,
Sao Tome and Principe,,,
Saudi Arabia,0.3,0.3,
Senegal,0.7,0.685,0.685906
Serbia,0.3,0.5413437507,0.521143278766
Seychelles,0.3,0.3,0.3
Sierra Leone,0.593739601658,0.7,0.69170106289
Singapore,0.3,0.1525,
Sint Maarten (Dutch part),0.3,0.5555,
Slovak Republic,0.3,0.5414388457,0.520602673316
Slovenia,0.693555877853,0.344646774512,0.378595630267
Small states,,,
Solomon Islands,0.3,0.474081625,
Somalia,0.3,0.372560034233,
South Africa,0.466403415957,0.7,0.694276883691
South Asia,,,
South Sudan,0.3,0.7,
Spain,0.105,0.1,0.1002705
Sri Lanka,0.674331232286,0.680307768572,0.679846379971
St. Kitts and Nevis,0.3,0.2505,
St. Lucia,0.3,0.271,
St. Martin (French part),,,
St. Vincent and the Grenadines,0.3,0.2895,
Sub-Saharan Africa (all income levels),,,
Sub-Saharan Africa (developing only),,,
Sudan,0.3,0.7,0.67276
Suriname,0.502651539985,0.7,
Swaziland,0.3,0.3595,0.35709025
Sweden,0.3,0.26083355,0.26456219604
Switzerland,0.3,0.307,0.306468
Syrian Arab Republic,0.3,0.6,0.57696
Tajikistan,0.3,0.159531241181,0.171260382542
Tanzania,0.3,0.542447212715,0.524530363695
Thailand,0.4674824,0.16621885,0.18658426598
Timor-Leste,0.3,0.217434025,0.224939272128
Togo,0.689595439809,0.7,0.699496419287
Tonga,0.3,0.3,
Trinidad and Tobago,0.3,0.3055,
Tunisia,0.56380195,0.1,0.131306631625
Turkey,0.3269435,0.3133165375,0.314106901325
Turkmenistan,0.3,0.567069947115,
Turks and Caicos Islands,0.3,0.2895,
Tuvalu,0.3,0.292,
Uganda,0.3,0.482020596984,0.471445200299
Ukraine,0.648346750981,0.428221628391,0.450696403408
United Arab Emirates,0.3,0.3,
United Kingdom,0.3,0.2615766875,0.263793712631
United States,0.570059622268,0.573231270646,0.573082203172
Upper middle income,,,
Uruguay,0.7,0.40017475,0.415855610575
Uzbekistan,0.3,0.159531241181,0.169982116837
Vanuatu,0.3,0.266,
"Venezuela, RB",0.605685096709,0.7,0.696019911081
Vietnam,0.3,0.2166199,0.22248152103
Virgin Islands (U.S.),0.3,0.312249342304,
West Bank and Gaza,0.3,0.65,0.623015
World,,,
"Yemen, Rep.",0.3,0.3,0.3
Zambia,0.3,0.542447212715,0.5337676025
Zimbabwe,0.466403415957,0.7,
