country,vp,vr,v
El Salvador,0.3,0.54,0.52536
Equatorial Guinea,0.3,0.426990514063,
Eritrea,0.3,0.7,
Estonia,0.3,0.159531241181,0.169364054298
Ethiopia,0.3,0.372560034233,0.366755231494
Euro area,,,
Europe & Central Asia,,,
Europe & Central Asia (IDA & IBRD countries),,,
Europe & Central Asia (excluding high income),,,
European Union,,,
Faroe Islands,,,
Fiji,0.3,0.28,0.28152
Finland,0.3,0.3075,0.306795
Fragile and conflict affected situations,,,
France,0.3,0.307,0.30644
French Polynesia,0.3,0.5445,
Gabon,0.3,0.426990514063,0.419625064248
"Gambia, The",0.593739601658,0.7,0.69489950088
Georgia,0.3,0.26079795,0.26318927505
Germany,0.3,0.2406888125,0.245493018687
Ghana,0.689595439809,0.7,0.69943815375
Gibraltar,,,
Greece,0.3,0.1775972175,0.184818981667
Greenland,0.3,0.2630639,
Grenada,0.3,0.273,
Guam,0.3,0.246692046881,
Guatemala,0.582809055982,0.1,0.121243598463
Guinea,0.7,0.685,0.68614
Guinea-Bissau,0.662,0.685,0.683965
Guyana,0.3,0.2955,0.2957025
Haiti,0.422631128862,0.118636091764,0.135659813842
Heavily indebted poor countries (HIPC),,,
High income,,,
Honduras,0.3,0.491375828972,0.484486299129
"Hong Kong SAR, China",0.32,0.1,
Hungary,0.3,0.535105,0.51723702
IBRD only,,,
IDA & IBRD total,,,
IDA blend,,,
IDA only,,,
IDA total,,,
Iceland,0.3,0.258870375,0.262859948625
India,0.3,0.62221674,0.59547275058
Indonesia,0.3,0.19689565,0.2043191632
"Iran, Islamic Rep.",0.3,0.371831668173,0.367306273078
Iraq,0.3,0.7,0.6648
Ireland,0.3,0.2662639375,0.268929086437
Isle of Man,0.3,0.2688332625,
Israel,0.3,0.65,0.63355
Italy,0.3,0.307,0.306566
Jamaica,0.3,0.491375828972,0.481232910036
Japan,0.3,0.204777,0.211823502
Jordan,0.3,0.65,0.6213
Kazakhstan,0.3,0.159531241181,0.173578117063
Kenya,0.3,0.7,0.6812
Kiribati,0.3,0.5445,0.528363
"Korea, Dem. People’s Rep.",,,
"Korea, Rep.",0.3,0.209028,0.215668956
Kosovo,,,
Kuwait,0.3,0.592141659003,
Kyrgyz Republic,0.3,0.249554415085,0.254346745652
Lao PDR,0.3,0.325,0.3231
Late-demographic dividend,,,
Latin America & Caribbean,,,
Latin America & Caribbean (excluding high income),,,
Latin America & the Caribbean (IDA & IBRD countries),,,
Latvia,0.3,0.159531241181,0.168802179263
Least developed countries: UN classification,,,
Lebanon,0.3,0.6,0.5766
Lesotho,0.466403415957,0.7,0.693459295647
Liberia,0.593739601658,0.7,0.691711688929
Libya,0.3,0.7,
Liechtenstein,0.105,0.1,
Lithuania,0.3,0.3058952,0.305541488
Low & middle income,,,
Low income,,,
Lower middle income,,,
Luxembourg,0.3,0.2597724,0.2629503804
"Macao SAR, China",0.3,0.2575,
"Macedonia, FYR",0.3,0.204597,0.209939568
Madagascar,0.3,0.542447212715,0.52862772159
Malawi,0.3,0.542447212715,0.529355063228
Malaysia,0.3,0.246692046881,0.249144212725
Maldives,0.3,0.5445,0.528852
Mali,0.64684855,0.1,0.143747884
Malta,0.3,0.307,
Marshall Islands,0.3,0.26392675,0.264312733775
Mauritania,0.5845951,0.1,0.1368292276
Mauritius,0.3,0.3,0.3
Mexico,0.3,0.42153845,0.41533998905
"Micronesia, Fed. Sts.",0.3,0.5445,0.5310525
Middle East & North Africa,,,
Middle East & North Africa (IDA & IBRD countries),,,
Middle East & North Africa (excluding high income),,,
Middle income,,,
Moldova,0.648346750981,0.428221628391,0.449573765282
Monaco,0.3,0.307,
Mongolia,0.3,0.159531241181,0.170909210645
Montenegro,0.3,0.540973960825,0.520491174155
Morocco,0.3,0.3091521875,0.308557295313
Mozambique,0.3,0.345,0.34266
Myanmar,0.3,0.316,0.314832
Namibia,0.466403415957,0.7,0.692291312727
Nauru,0.3,0.285,
Nepal,0.3,0.498281375,0.481824020875
Netherlands,0.3,0.2596299,0.2631824688
New Caledonia,0.3,0.285,
New Zealand,0.3,0.2447021425,
Nicaragua,0.3,0.421042167331,0.414990058964
Niger,0.7,0.103779625,0.15028481425
Nigeria,0.593739601658,0.7,0.69426193849
North America,,,
Northern Mariana Islands,0.3,0.5445,
Norway,0.3,0.159531241181,0.172313898233
OECD members,,,
Oman,0.3,0.3,
Other small states,,,
Pacific island small states,,,
Pakistan,0.3,0.6201834,0.5907265272
Palau,0.3,0.5445,
Panama,0.605685096709,0.7,0.696698978385
Papua New Guinea,0.3,0.6386,0.6213314
Paraguay,0.7,0.37219015,0.38563035385
Peru,0.3,0.213228,0.217219512
Philippines,0.3,0.222974634492,0.228058308616
Poland,0.3,0.159531241181,0.170768741886
Portugal,0.105,0.1,0.100325
Post-demographic dividend,,,
Pre-demographic dividend,,,
Puerto Rico,0.3,0.312249342304,
Qatar,0.3,0.3,
Romania,0.3,0.425110175,0.413975369425
Russian Federation,0.3,0.219220345027,0.22479414122
Rwanda,0.63,0.7,0.69636
Samoa,0.3,0.5445,0.528852
San Marino,0.3,0.307,
Sao Tome and Principe,0.3,0.449,0.436484
Saudi Arabia,0.3,0.3,
Senegal,0.7,0.685,0.685915
Serbia,0.3,0.5413437507,0.52058818814
Seychelles,0.3,0.3,0.3
Sierra Leone,0.593739601658,0.7,0.691605428531
Singapore,0.3,0.1525,
Sint Maarten (Dutch part),0.3,0.5555,
Slovak Republic,0.3,0.5414388457,0.521157982661
Slovenia,0.693555877853,0.344646774512,0.377444230226
Small states,,,
Solomon Islands,0.3,0.474081625,0.46189591125
Somalia,0.3,0.372560034233,
South Africa,0.466403415957,0.7,0.694160085399
South Asia,,,
South Asia (IDA & IBRD),,,
South Sudan,0.3,0.7,0.6844
Spain,0.105,0.1,0.100285
Sri Lanka,0.674331232286,0.680307768572,0.679883434496
St. Kitts and Nevis,0.3,0.2505,
St. Lucia,0.3,0.271,0.2725167
St. Martin (French part),,,
St. Vincent and the Grenadines,0.3,0.2895,0.2916315
Sub-Saharan Africa,,,
Sub-Saharan Africa (IDA & IBRD countries),,,
Sub-Saharan Africa (excluding high income),,,
Sudan,0.3,0.7,0.6728
Suriname,0.502651539985,0.7,
Swaziland,0.3,0.3595,0.35712
Sweden,0.3,0.26083355,0.2643585305
Switzerland,0.3,0.307,0.306447
Syrian Arab Republic,0.3,0.6,0.5769
Tajikistan,0.3,0.159531241181,0.169925929333
Tanzania,0.3,0.542447212715,0.524506118974
Thailand,0.4674824,0.16621885,0.18700603495
Timor-Leste,0.3,0.217434025,0.224947528725
Togo,0.689595439809,0.7,0.69947977199
Tonga,0.3,0.3,0.3
Trinidad and Tobago,0.3,0.3055,0.3052305
Tunisia,0.56380195,0.1,0.13107473065
Turkey,0.3269435,0.3133165375,0.314106901325
Turkmenistan,0.3,0.567069947115,
Turks and Caicos Islands,0.3,0.2895,
Tuvalu,0.3,0.292,0.292528
Uganda,0.3,0.482020596984,0.470371278777
Ukraine,0.648346750981,0.428221628391,0.45023414065
United Arab Emirates,0.3,0.3,
United Kingdom,0.3,0.2615766875,0.264381589312
United States,0.3,0.301669114029,0.301583989214
Upper middle income,,,
Uruguay,0.7,0.40017475,0.41546583775
Uzbekistan,0.3,0.159531241181,0.169925929333
Vanuatu,0.3,0.266,0.268312
"Venezuela, RB",0.605685096709,0.7,0.696981923095
Vietnam,0.3,0.2166199,0.2225398871
Virgin Islands (U.S.),0.3,0.312249342304,
West Bank and Gaza,0.3,0.65,0.62305
World,,,
"Yemen, Rep.",0.3,0.3,0.3
Zambia,0.3,0.542447212715,0.535416243546
Zimbabwe,0.466403415957,0.7,0.686451398126
