country,vp,vr,v
Puerto Rico,0.3,0.312249342304,
Qatar,0.3,0.3,
Romania,0.3,0.4258363,0.41462428567
Russian Federation,0.3,0.219434680973,0.224188034796
Rwanda,0.63,0.7,0.696409
Samoa,0.3,0.5445,0.5290476
San Marino,0.3,0.307,
Sao Tome and Principe,,,
Saudi Arabia,0.3,0.3,
Senegal,0.7,0.685,0.685909
Serbia,0.3,0.541348721575,0.521147833579
Seychelles,0.3,0.3,0.3
Sierra Leone,0.593739601658,0.7,0.691594802491
Singapore,0.3,0.1525,
Sint Maarten (Dutch part),0.3,0.5555,
Slovak Republic,0.3,0.54143322645,0.52062168233
Slovenia,0.693557015481,0.344639834225,0.377542724418
Small states,,,
Solomon Islands,0.3,0.474081625,0.465429768237
Somalia,0.3,0.372560034233,
South Africa,0.466403415957,0.7,0.694230164374
South Asia,,,
South Asia (IDA & IBRD),,,
South Sudan,0.3,0.7,
Spain,0.105,0.1,0.100288
Sri Lanka,0.674331232286,0.680307768572,0.679873274384
St. Kitts and Nevis,0.3,0.2505,
St. Lucia,0.3,0.271,
St. Martin (French part),,,
St. Vincent and the Grenadines,0.3,0.2895,
Sub-Saharan Africa,,,
Sub-Saharan Africa (IDA & IBRD countries),,,
Sub-Saharan Africa (excluding high income),,,
Sudan,0.3,0.7,0.67272
Suriname,0.502651539985,0.7,
Swaziland,0.3,0.3595,0.35712
Sweden,0.3,0.2608689375,0.264273339937
Switzerland,0.3,0.307,0.3064337
Syrian Arab Republic,0.3,0.6,0.57705
Tajikistan,0.3,0.159531241181,0.171260382542
Tanzania,0.3,0.542447212715,0.524578853138
Thailand,0.46333144,0.170879935,0.190327960083
Timor-Leste,0.3,0.21804925,0.225416622425
Togo,0.689595439809,0.7,0.699497459743
Tonga,0.507157788485,0.507157788485,0.507157788485
Trinidad and Tobago,0.3,0.3055,
Tunisia,0.5644477,0.1,0.13125733021
Turkey,0.3266985,0.3143639125,0.315079318575
Turkmenistan,0.3,0.566882283035,
Turks and Caicos Islands,0.3,0.2895,
Tuvalu,0.3,0.292,
Uganda,0.3,0.482020596984,0.470953744687
Ukraine,0.648346750981,0.428221628391,0.450828478481
United Arab Emirates,0.3,0.3,
United Kingdom,0.3,0.2616344,0.26451565656
United States,0.570072242229,0.57324396082,0.573082203172
Upper middle income,,,
Uruguay,0.7,0.4000574125,0.415474461497
Uzbekistan,0.3,0.159531241181,0.169954023085
Vanuatu,0.327758345161,0.290612399376,0.293101177744
"Venezuela, RB",0.605685096709,0.7,0.697000786075
Vietnam,0.3,0.217246825,0.22264233201
Virgin Islands (U.S.),0.3,0.312249342304,
West Bank and Gaza,0.3,0.65,0.623015
World,,,
"Yemen, Rep.",0.3,0.3,0.3
Zambia,0.3,0.542447212715,0.53320997391
Zimbabwe,0.466403415957,0.7,
